Filesystem: -yaffs1- Test: -fileIO- Result: 1920190 Cycles
Failparam - Mean Erases: 10000, Erase-Deviation: 0, Mean Ionizing Dose: 0, Ionizing Dose Deviation: 0
"pagenumber","erases","writes","reads"
261,10001,20002,10001
262,10001,20002,20002
263,10001,20002,20002
264,10001,20002,20002
265,10001,20002,20002
266,10001,20002,10001
267,10001,20002,20002
268,10001,20002,20002
269,10001,20002,20002
270,10001,20002,20002
271,10001,20002,10001
272,10001,20002,20002
273,10001,20002,20002
274,10001,20002,20002
275,10001,20002,20002
276,10001,20002,10001
277,10001,20002,20002
278,10001,20002,20002
279,10001,20002,20002
280,10001,20002,20002
281,10001,20002,10001
282,10001,20002,20002
283,10001,20002,20002
284,10001,20002,20002
285,10001,20002,20002
286,10001,20002,10001
287,10001,20002,20002
288,10001,20002,20002
289,10001,20002,20002
290,10001,20002,20002
291,10001,20002,10001
292,10001,20002,20002
293,10001,20002,20002
294,10001,20002,20002
295,10001,20002,20002
296,10001,20002,10001
297,10001,20002,20002
298,10001,20002,20002
299,10001,20002,20002
300,10001,20002,20002
301,10001,20002,10001
302,10001,20002,20002
303,10001,20002,20002
304,10001,20002,20002
305,10001,20002,20002
306,10001,20002,10001
307,10001,20002,20002
308,10001,20002,20002
309,10001,20002,20002
310,10001,20002,20002
311,10001,20002,10001
312,10001,20002,20002
313,10001,20002,20002
314,10001,20002,20002
315,10001,20002,20002
316,10001,20002,10001
317,10001,20002,20002
318,10001,20002,20002
319,10001,20002,20002
320,10001,20003,20005
321,10001,20003,10002
322,10001,20002,20002
323,10001,20002,20002
324,10001,20002,20002
325,10001,20002,20002
326,10001,20002,10001
327,10001,20002,20002
328,10001,20002,20002
329,10001,20002,20002
330,10001,20002,20002
331,10001,20002,10001
332,10001,20002,20002
333,10001,20002,20002
334,10001,20002,20002
335,10001,20002,20002
336,10001,20002,10001
337,10001,20002,20002
338,10001,20002,20002
339,10001,20002,20002
340,10001,20002,20002
341,10001,20002,10001
342,10001,20002,20002
343,10001,20002,20002
344,10001,20002,20002
345,10001,20002,20002
346,10001,20002,10001
347,10001,20002,20002
348,10001,20002,20002
349,10001,20002,20002
350,10001,20002,20002
351,10001,20002,10001
352,10001,20002,20002
353,10001,20002,20002
354,10001,20002,20002
355,10001,20002,20002
356,10001,20002,10001
357,10001,20002,20002
358,10001,20002,20002
359,10001,20002,20002
360,10001,20002,20002
361,10001,20002,10001
362,10001,20002,20002
363,10001,20002,20002
364,10001,20002,20002
365,10001,20002,20002
366,10001,20002,10001
367,10001,20002,20002
368,10001,20002,20002
369,10001,20002,20002
370,10001,20002,20002
371,10001,20002,10001
372,10001,20002,20002
373,10001,20002,20002
374,10001,20002,20002
375,10001,20002,20002
376,10001,20002,10001
377,10001,20002,20002
378,10001,20002,20002
379,10001,20002,20002
380,10001,20002,20002
381,10001,20002,10001
382,10001,20002,20002
383,10001,20002,20002
384,10001,20003,20005
385,10001,20003,20003
386,10001,20002,10001
387,10001,20002,20002
388,10001,20002,20002
389,10001,20002,20002
390,10001,20002,20002
391,10001,20002,10001
392,10001,20002,20002
393,10001,20002,20002
394,10001,20002,20002
395,10001,20002,20002
396,10001,20002,10001
397,10001,20002,20002
398,10001,20002,20002
399,10001,20002,20002
400,10001,20002,20002
401,10001,20002,10001
402,10001,20002,20002
403,10001,20002,20002
404,10001,20002,20002
405,10001,20002,20002
406,10001,20002,10001
407,10001,20002,20002
408,10001,20002,20002
409,10001,20002,20002
410,10001,20002,20002
411,10001,20002,10001
412,10001,20002,20002
413,10001,20002,20002
414,10001,20002,20002
415,10001,20002,20002
416,10001,20002,10001
417,10001,20002,20002
418,10001,20002,20002
419,10001,20002,20002
420,10001,20002,20002
421,10001,20002,10001
422,10001,20002,20002
423,10001,20002,20002
424,10001,20002,20002
425,10001,20002,20002
426,10001,20002,10001
427,10001,20002,20002
428,10001,20002,20002
429,10001,20002,20002
430,10001,20002,20002
431,10001,20002,10001
432,10001,20002,20002
433,10001,20002,20002
434,10001,20002,20002
435,10001,20002,20002
436,10001,20002,10001
437,10001,20002,20002
438,10001,20002,20002
439,10001,20002,20002
440,10001,20002,20002
441,10001,20002,10001
442,10001,20002,20002
443,10001,20002,20002
444,10001,20002,20002
445,10001,20002,20002
446,10001,20002,10001
447,10001,20002,20002
448,10001,20003,20005
449,10001,20003,20003
450,10001,20002,20002
451,10001,20002,10001
452,10001,20002,20002
453,10001,20002,20002
454,10001,20002,20002
455,10001,20002,20002
456,10001,20002,10001
457,10001,20002,20002
458,10001,20002,20002
459,10001,20002,20002
460,10001,20002,20002
461,10001,20002,10001
462,10001,20002,20002
463,10001,20002,20002
464,10001,20002,20002
465,10001,20002,20002
466,10001,20002,10001
467,10001,20002,20002
468,10001,20002,20002
469,10001,20002,20002
470,10001,20002,20002
471,10001,20002,10001
472,10001,20002,20002
473,10001,20002,20002
474,10001,20002,20002
475,10001,20002,20002
476,10001,20002,10001
477,10001,20002,20002
478,10001,20002,20002
479,10001,20002,20002
480,10001,20002,20002
481,10001,20002,10001
482,10001,20002,20002
483,10001,20002,20002
484,10001,20002,20002
485,10001,20002,20002
486,10001,20002,10001
487,10001,20002,20002
488,10001,20002,20002
489,10001,20002,20002
490,10001,20002,20002
491,10001,20002,10001
492,10001,20002,20002
493,10001,20002,20002
494,10001,20002,20002
495,10001,20002,20002
496,10001,20002,10001
497,10001,20002,20002
498,10001,20002,20002
499,10001,20002,20002
500,10001,20002,20002
501,10001,20002,10001
502,10001,20002,20002
503,10001,20002,20002
504,10001,20002,20002
505,10001,20002,20002
506,10001,20002,10001
507,10001,20002,20002
508,10001,20002,20002
509,10001,20002,20002
510,10001,20002,20002
511,10001,20002,10001
512,10001,20003,20005
513,10001,20003,20003
514,10001,20002,20002
515,10001,20002,20002
516,10001,20002,10001
517,10001,20002,20002
518,10001,20002,20002
519,10001,20002,20002
520,10001,20002,20002
521,10001,20002,10001
522,10001,20002,20002
523,10001,20002,20002
524,10001,20002,20002
525,10001,20002,20002
526,10001,20002,10001
527,10001,20002,20002
528,10001,20002,20002
529,10001,20002,20002
530,10001,20002,20002
531,10001,20002,10001
532,10001,20002,20002
533,10001,20002,20002
534,10001,20002,20002
535,10001,20002,20002
536,10001,20002,10001
537,10001,20002,20002
538,10001,20002,20002
539,10001,20002,20002
540,10001,20002,20002
541,10001,20002,10001
542,10001,20002,20002
543,10001,20002,20002
544,10001,20002,20002
545,10001,20002,20002
546,10001,20002,10001
547,10001,20002,20002
548,10001,20002,20002
549,10001,20002,20002
550,10001,20002,20002
551,10001,20002,10001
552,10001,20002,20002
553,10001,20002,20002
554,10001,20002,20002
555,10001,20002,20002
556,10001,20002,10001
557,10001,20002,20002
558,10001,20002,20002
559,10001,20002,20002
560,10001,20002,20002
561,10001,20002,10001
562,10001,20002,20002
563,10001,20002,20002
564,10001,20002,20002
565,10001,20002,20002
566,10001,20002,10001
567,10001,20002,20002
568,10001,20002,20002
569,10001,20002,20002
570,10001,20002,20002
571,10001,20002,10001
572,10001,20002,20002
573,10001,20002,20002
574,10001,20002,20002
575,10001,20002,20002
576,10001,20003,10004
577,10001,20003,20003
578,10001,20002,20002
579,10001,20002,20002
580,10001,20002,20002
581,10001,20002,10001
582,10001,20002,20002
583,10001,20002,20002
584,10001,20002,20002
585,10001,20002,20002
586,10001,20002,10001
587,10001,20002,20002
588,10001,20002,20002
589,10001,20002,20002
590,10001,20002,20002
591,10001,20002,10001
592,10001,20002,20002
593,10001,20002,20002
594,10001,20002,20002
595,10001,20002,20002
596,10001,20002,10001
597,10001,20002,20002
598,10001,20002,20002
599,10001,20002,20002
600,10001,20002,20002
601,10001,20002,10001
602,10001,20002,20002
603,10001,20002,20002
604,10001,20002,20002
605,10001,20002,20002
606,10001,20002,10001
607,10001,20002,20002
608,10001,20002,20002
609,10001,20002,20002
610,10001,20002,20002
611,10001,20002,10001
612,10001,20002,20002
613,10001,20002,20002
614,10001,20002,20002
615,10001,20002,20002
616,10001,20002,10001
617,10001,20002,20002
618,10001,20002,20002
619,10001,20002,20002
620,10001,20002,20002
621,10001,20002,10001
622,10001,20002,20002
623,10001,20002,20002
624,10001,20002,20002
625,10001,20002,20002
626,10001,20002,10001
627,10001,20002,20002
628,10001,20002,20002
629,10001,20002,20002
630,10001,20002,20002
631,10001,20002,10001
632,10001,20002,20002
633,10001,20002,20002
634,10001,20002,20002
635,10001,20002,20002
636,10001,20002,10001
637,10001,20002,20002
638,10001,20002,20002
639,10001,20002,20002
640,10001,20003,20005
641,10001,20003,10002
642,10001,20002,20002
643,10001,20002,20002
644,10001,20002,20002
645,10001,20002,20002
646,10001,20002,10001
647,10001,20002,20002
648,10001,20002,20002
649,10001,20002,20002
650,10001,20002,20002
651,10001,20002,10001
652,10001,20002,20002
653,10001,20002,20002
654,10001,20002,20002
655,10001,20002,20002
656,10001,20002,10001
657,10001,20002,20002
658,10001,20002,20002
659,10001,20002,20002
660,10001,20002,20002
661,10001,20002,10001
662,10001,20002,20002
663,10001,20002,20002
664,10001,20002,20002
665,10001,20002,20002
666,10001,20002,10001
667,10001,20002,20002
668,10001,20002,20002
669,10001,20002,20002
670,10001,20002,20002
671,10001,20002,10001
672,10001,20002,20002
673,10001,20002,20002
674,10001,20002,20002
675,10001,20002,20002
676,10001,20002,10001
677,10001,20002,20002
678,10001,20002,20002
679,10001,20002,20002
680,10001,20002,20002
681,10001,20002,10001
682,10001,20002,20002
683,10001,20002,20002
684,10001,20002,20002
685,10001,20002,20002
686,10001,20002,10001
687,10001,20002,20002
688,10001,20002,20002
689,10001,20002,20002
690,10001,20002,20002
691,10001,20002,10001
692,10001,20002,20002
693,10001,20002,20002
694,10001,20002,20002
695,10001,20002,20002
696,10001,20002,10001
697,10001,20002,20002
698,10001,20002,20002
699,10001,20002,20002
700,10001,20002,20002
701,10001,20002,10001
702,10001,20002,20002
703,10001,20002,20002
704,10001,20003,20005
705,10001,20003,20003
706,10001,20002,10001
707,10001,20002,20002
708,10001,20002,20002
709,10001,20002,20002
710,10001,20002,20002
711,10001,20002,10001
712,10001,20002,20002
713,10001,20002,20002
714,10001,20002,20002
715,10001,20002,20002
716,10001,20002,10001
717,10001,20002,20002
718,10001,20002,20002
719,10001,20002,20002
720,10001,20002,20002
721,10001,20002,10001
722,10001,20002,20002
723,10001,20002,20002
724,10001,20002,20002
725,10001,20002,20002
726,10001,20002,10001
727,10001,20002,20002
728,10001,20002,20002
729,10001,20002,20002
730,10001,20002,20002
731,10001,20002,10001
732,10001,20002,20002
733,10001,20002,20002
734,10001,20002,20002
735,10001,20002,20002
736,10001,20002,10001
737,10001,20002,20002
738,10001,20002,20002
739,10001,20002,20002
740,10001,20002,20002
741,10001,20002,10001
742,10001,20002,20002
743,10001,20002,20002
744,10001,20002,20002
745,10001,20002,20002
746,10001,20002,10001
747,10001,20002,20002
