Filesystem: -yaffs2- Test: -fileIO- Result: 1550153 Cycles
Failparam - Mean Erases: 10000, Erase-Deviation: 0, Mean Ionizing Dose: 0, Ionizing Dose Deviation: 0
"pagenumber","erases","writes","reads"
0,1,1,6
1,1,1,2
2,1,1,3
3,1,1,3
4,1,1,3
5,1,1,3
6,1,1,3
7,1,1,2
8,1,1,3
9,1,1,3
10,1,1,3
11,1,1,3
12,1,1,3
13,1,1,2
14,1,1,3
15,1,1,3
16,1,1,3
17,1,1,3
18,1,1,3
19,1,1,2
20,1,1,3
21,1,1,3
22,1,1,3
23,1,1,3
24,1,1,3
25,1,1,2
26,1,1,3
27,1,1,3
28,1,1,3
29,1,1,3
30,1,1,3
31,1,1,2
32,1,1,3
33,1,1,3
34,1,1,3
35,1,1,3
36,1,1,3
37,1,1,2
38,1,1,3
39,1,1,3
40,1,1,3
41,1,1,3
42,1,1,3
43,1,1,2
44,1,1,3
45,1,1,3
46,1,1,3
47,1,1,3
48,1,1,3
49,1,1,2
50,1,1,3
51,1,1,3
52,1,1,3
53,1,1,3
54,1,1,3
55,1,1,2
56,1,1,3
57,1,1,3
58,1,1,3
59,1,1,3
60,1,1,3
61,1,1,2
62,1,1,1
63,1,1,1
64,10001,10002,20007
65,10001,10002,20003
66,10001,10002,20003
67,10001,10002,20003
68,10001,10002,20003
69,10001,10002,10002
70,10001,10002,20003
71,10001,10002,20003
72,10001,10002,20003
73,10001,10002,20003
74,10001,10002,20003
75,10001,10002,10002
76,10001,10002,20003
77,10001,10002,20003
78,10001,10002,20003
79,10001,10002,20003
80,10001,10002,20003
81,10001,10002,10002
82,10001,10002,20003
83,10001,10002,20003
84,10001,10002,20003
85,10001,10002,20003
86,10001,10002,20003
87,10001,10002,10002
88,10001,10002,20003
89,10001,10002,20003
90,10001,10002,20003
91,10001,10002,20003
92,10001,10002,20003
93,10001,10002,10002
94,10001,10002,20003
95,10001,10002,20003
96,10001,10002,20003
97,10001,10002,20003
98,10001,10002,20003
99,10001,10002,10002
100,10001,10002,20003
101,10001,10002,20003
102,10001,10002,20003
103,10001,10002,20003
104,10001,10002,20003
105,10001,10002,10002
106,10001,10002,20003
107,10001,10002,20003
108,10001,10002,20003
109,10001,10002,20003
110,10001,10002,20003
111,10001,10002,10002
112,10001,10002,20003
113,10001,10002,20003
114,10001,10002,20003
115,10001,10002,20003
116,10001,10002,20003
117,10001,10002,10002
118,10001,10002,20003
119,10001,10002,20003
120,10001,10002,20003
121,10001,10002,20003
122,10001,10002,20003
123,10001,10002,10002
124,10001,10002,20003
125,10001,10002,20003
126,10001,10002,1
127,10001,10002,1
128,10001,10002,20007
129,10001,10002,20003
130,10001,10002,20003
131,10001,10002,10002
132,10001,10002,20003
133,10001,10002,20003
134,10001,10002,20003
135,10001,10002,20003
136,10001,10002,20003
137,10001,10002,10002
138,10001,10002,20003
139,10001,10002,20003
140,10001,10002,20003
141,10001,10002,20003
142,10001,10002,20003
143,10001,10002,10002
144,10001,10002,20003
145,10001,10002,20003
146,10001,10002,20003
147,10001,10002,20003
148,10001,10002,20003
149,10001,10002,10002
150,10001,10002,20003
151,10001,10002,20003
152,10001,10002,20003
153,10001,10002,20003
154,10001,10002,20003
155,10001,10002,10002
156,10001,10002,20003
157,10001,10002,20003
158,10001,10002,20003
159,10001,10002,20003
160,10001,10002,20003
161,10001,10002,10002
162,10001,10002,20003
163,10001,10002,20003
164,10001,10002,20003
165,10001,10002,20003
166,10001,10002,20003
167,10001,10002,10002
168,10001,10002,20003
169,10001,10002,20003
170,10001,10002,20003
171,10001,10002,20003
172,10001,10002,20003
173,10001,10002,10002
174,10001,10002,20003
175,10001,10002,20003
176,10001,10002,20003
177,10001,10002,20003
178,10001,10002,20003
179,10001,10002,10002
180,10001,10002,20003
181,10001,10002,20003
182,10001,10002,20003
183,10001,10002,20003
184,10001,10002,20003
185,10001,10002,10002
186,10001,10002,20003
187,10001,10002,20003
188,10001,10002,20003
189,10001,10002,20003
190,10001,10002,1
191,10001,10002,1
192,10001,10002,20007
193,10001,10002,10002
194,10001,10002,20003
195,10001,10002,20003
196,10001,10002,20003
197,10001,10002,20003
198,10001,10002,20003
199,10001,10002,10002
200,10001,10002,20003
201,10001,10002,20003
202,10001,10002,20003
203,10001,10002,20003
204,10001,10002,20003
205,10001,10002,10002
206,10001,10002,20003
207,10001,10002,20003
208,10001,10002,20003
209,10001,10002,20003
210,10001,10002,20003
211,10001,10002,10002
212,10001,10002,20003
213,10001,10002,20003
214,10001,10002,20003
215,10001,10002,20003
216,10001,10002,20003
217,10001,10002,10002
218,10001,10002,20003
219,10001,10002,20003
220,10001,10002,20003
221,10001,10002,20003
222,10001,10002,20003
223,10001,10002,10002
224,10001,10002,20003
225,10001,10002,20003
226,10001,10002,20003
227,10001,10002,20003
228,10001,10002,20003
229,10001,10002,10002
230,10001,10002,20003
231,10001,10002,20003
232,10001,10002,20003
233,10001,10002,20003
234,10001,10002,20003
235,10001,10002,10002
236,10001,10002,20003
237,10001,10002,20003
238,10001,10002,20003
239,10001,10002,20003
240,10001,10002,20003
241,10001,10002,10002
242,10001,10002,20003
243,10001,10002,20003
244,10001,10002,20003
245,10001,10002,20003
246,10001,10002,20003
247,10001,10002,10002
248,10001,10002,20003
249,10001,10002,20003
250,10001,10002,20003
251,10001,10002,20003
252,10001,10002,20003
253,10001,10002,10002
254,10001,10002,1
255,10001,10002,1
256,10001,10002,20007
257,10001,10002,20003
258,10001,10002,20003
259,10001,10002,20003
260,10001,10002,20003
261,10001,10002,10002
262,10001,10002,20003
263,10001,10002,20003
264,10001,10002,20003
265,10001,10002,20003
266,10001,10002,20003
267,10001,10002,10002
268,10001,10002,20003
269,10001,10002,20003
270,10001,10002,20003
271,10001,10002,20003
272,10001,10002,20003
273,10001,10002,10002
274,10001,10002,20003
275,10001,10002,20003
276,10001,10002,20003
277,10001,10002,20003
278,10001,10002,20003
279,10001,10002,10002
280,10001,10002,20003
281,10001,10002,20003
282,10001,10002,20003
283,10001,10002,20003
284,10001,10002,20003
285,10001,10002,10002
286,10001,10002,20003
287,10001,10002,20003
288,10001,10002,20003
289,10001,10002,20003
290,10001,10002,20003
291,10001,10002,10002
292,10001,10002,20003
293,10001,10002,20003
294,10001,10002,20003
295,10001,10002,20003
296,10001,10002,20003
297,10001,10002,10002
298,10001,10002,20003
299,10001,10002,20003
300,10001,10002,20003
301,10001,10002,20003
302,10001,10002,20003
303,10001,10002,10002
304,10001,10002,20003
305,10001,10002,20003
306,10001,10002,20003
307,10001,10002,20003
308,10001,10002,20003
309,10001,10002,10002
310,10001,10002,20003
311,10001,10002,20003
312,10001,10002,20003
313,10001,10002,20003
314,10001,10002,20003
315,10001,10002,10002
316,10001,10002,20003
317,10001,10002,20003
318,10001,10002,1
319,10001,10002,1
320,10001,10002,20007
321,10001,10002,20003
322,10001,10002,20003
323,10001,10002,10002
324,10001,10002,20003
325,10001,10002,20003
326,10001,10002,20003
327,10001,10002,20003
328,10001,10002,20003
329,10001,10002,10002
330,10001,10002,20003
331,10001,10002,20003
332,10001,10002,20003
333,10001,10002,20003
334,10001,10002,20003
335,10001,10002,10002
336,10001,10002,20003
337,10001,10002,20003
338,10001,10002,20003
339,10001,10002,20003
340,10001,10002,20003
341,10001,10002,10002
342,10001,10002,20003
343,10001,10002,20003
344,10001,10002,20003
345,10001,10002,20003
346,10001,10002,20003
347,10001,10002,10002
348,10001,10002,20003
349,10001,10002,20003
350,10001,10002,20003
351,10001,10002,20003
352,10001,10002,20003
353,10001,10002,10002
354,10001,10002,20003
355,10001,10002,20003
356,10001,10002,20003
357,10001,10002,20003
358,10001,10002,20003
359,10001,10002,10002
360,10001,10002,20003
361,10001,10002,20003
362,10001,10002,20003
363,10001,10002,20003
364,10001,10002,20003
365,10001,10002,10002
366,10001,10002,20003
367,10001,10002,20003
368,10001,10002,20003
369,10001,10002,20003
370,10001,10002,20003
371,10001,10002,10002
372,10001,10002,20003
373,10001,10002,20003
374,10001,10002,20003
375,10001,10002,20003
376,10001,10002,20003
377,10001,10002,10002
378,10001,10002,20003
379,10001,10002,20003
380,10001,10002,20003
381,10001,10002,20003
382,10001,10002,1
383,10001,10002,1
384,10001,10002,20007
385,10001,10002,10002
386,10001,10002,20003
