Filesystem: -ff11- Test: -file_append- Result: 491520 Byte
Failparam - Mean Erases: 1000, Erase-Deviation: 0, Mean Ionizing Dose: 0, Ionizing Dose Deviation: 0
"pagenumber","erases","writes","reads"
386,80,80,239
387,80,80,239
388,80,80,239
389,80,80,238
390,80,80,238
391,80,80,238
392,80,80,238
393,80,80,237
394,80,80,237
395,80,80,237
396,80,80,237
397,80,80,236
398,80,80,236
399,80,80,236
400,80,80,236
401,80,80,235
402,80,80,235
403,80,80,235
404,80,80,235
405,80,80,234
406,80,80,234
407,80,80,234
408,80,80,234
409,80,80,233
410,80,80,233
411,80,80,233
412,80,80,233
413,80,80,232
414,80,80,232
415,80,80,232
416,80,80,232
417,80,80,231
418,80,80,231
419,80,80,231
420,80,80,231
421,80,80,230
422,80,80,230
423,80,80,230
424,80,80,230
425,80,80,229
426,80,80,229
427,80,80,229
428,80,80,229
429,80,80,228
430,80,80,228
431,80,80,228
432,80,80,228
433,80,80,227
434,80,80,227
435,80,80,227
436,80,80,227
437,80,80,226
438,80,80,226
439,80,80,226
440,80,80,226
441,80,80,225
442,80,80,225
443,80,80,225
444,80,80,225
445,80,80,224
446,80,80,224
447,80,80,224
448,80,80,224
449,80,80,223
450,80,80,223
451,80,80,223
452,80,80,223
453,80,80,222
454,80,80,222
455,80,80,222
456,80,80,222
457,80,80,221
458,80,80,221
459,80,80,221
460,80,80,221
461,80,80,220
462,80,80,220
463,80,80,220
464,80,80,220
465,80,80,219
466,80,80,219
467,80,80,219
468,80,80,219
469,80,80,218
470,80,80,218
471,80,80,218
472,80,80,218
473,80,80,217
474,80,80,217
475,80,80,217
476,80,80,217
477,80,80,216
478,80,80,216
479,80,80,216
480,80,80,216
481,80,80,215
482,80,80,215
483,80,80,215
484,80,80,215
485,80,80,214
486,80,80,214
487,80,80,214
488,80,80,214
489,80,80,213
490,80,80,213
491,80,80,213
492,80,80,213
493,80,80,212
494,80,80,212
495,80,80,212
496,80,80,212
497,80,80,211
498,80,80,211
499,80,80,211
500,80,80,211
501,80,80,210
502,80,80,210
503,80,80,210
504,80,80,210
505,80,80,209
506,80,80,209
507,80,80,209
508,80,80,209
509,80,80,208
510,80,80,208
511,80,80,208
512,80,80,208
513,80,80,207
514,80,80,207
515,80,80,207
516,80,80,207
517,80,80,206
518,80,80,206
519,80,80,206
520,80,80,206
521,80,80,205
522,80,80,205
523,80,80,205
524,80,80,205
525,80,80,204
526,80,80,204
527,80,80,204
528,80,80,204
529,80,80,203
530,80,80,203
531,80,80,203
532,80,80,203
533,80,80,202
534,80,80,202
535,80,80,202
536,80,80,202
537,80,80,201
538,80,80,201
539,80,80,201
540,80,80,201
541,80,80,200
542,80,80,200
543,80,80,200
544,80,80,200
545,80,80,199
546,80,80,199
547,80,80,199
548,80,80,199
549,80,80,198
550,80,80,198
551,80,80,198
552,80,80,198
553,80,80,197
554,80,80,197
555,80,80,197
556,80,80,197
557,80,80,196
558,80,80,196
559,80,80,196
560,80,80,196
561,80,80,195
562,80,80,195
563,80,80,195
564,80,80,195
565,80,80,194
566,80,80,194
567,80,80,194
568,80,80,194
569,80,80,193
570,80,80,193
571,80,80,193
572,80,80,193
573,80,80,192
574,80,80,192
575,80,80,192
576,80,80,192
577,80,80,191
578,80,80,191
579,80,80,191
580,80,80,191
581,80,80,190
582,80,80,190
583,80,80,190
584,80,80,190
585,80,80,189
586,80,80,189
587,80,80,189
588,80,80,189
589,80,80,188
590,80,80,188
591,80,80,188
592,80,80,188
593,80,80,187
594,80,80,187
595,80,80,187
596,80,80,187
597,80,80,186
598,80,80,186
599,80,80,186
600,80,80,186
601,80,80,185
602,80,80,185
603,80,80,185
604,80,80,185
605,80,80,184
606,80,80,184
607,80,80,184
608,80,80,184
609,80,80,183
610,80,80,183
611,80,80,183
612,80,80,183
613,80,80,182
614,80,80,182
615,80,80,182
616,80,80,182
617,80,80,181
618,80,80,181
619,80,80,181
620,80,80,181
621,80,80,180
622,80,80,180
623,80,80,180
624,80,80,180
625,80,80,179
626,80,80,179
627,80,80,179
628,80,80,179
629,80,80,178
630,80,80,178
631,80,80,178
632,80,80,178
633,80,80,177
634,80,80,177
635,80,80,177
636,80,80,177
637,80,80,176
638,80,80,176
639,80,80,176
640,80,80,176
641,80,80,175
642,80,80,175
643,80,80,175
644,80,80,175
645,80,80,174
646,80,80,174
647,80,80,174
648,80,80,174
649,80,80,173
650,80,80,173
651,80,80,173
652,80,80,173
653,80,80,172
654,80,80,172
655,80,80,172
656,80,80,172
657,80,80,171
658,80,80,171
659,80,80,171
660,80,80,171
661,80,80,170
662,80,80,170
663,80,80,170
664,80,80,170
665,80,80,169
666,80,80,169
667,80,80,169
668,80,80,169
669,80,80,168
670,80,80,168
671,80,80,168
672,80,80,168
673,80,80,167
674,80,80,167
675,80,80,167
676,80,80,167
677,80,80,166
678,80,80,166
679,80,80,166
680,80,80,166
681,80,80,165
682,80,80,165
683,80,80,165
684,80,80,165
685,80,80,164
686,80,80,164
687,80,80,164
688,80,80,164
689,80,80,163
690,80,80,163
691,80,80,163
692,80,80,163
693,80,80,162
694,80,80,162
695,80,80,162
696,80,80,162
697,80,80,161
698,80,80,161
699,80,80,161
700,80,80,161
701,80,80,160
702,80,80,160
703,80,80,160
704,80,80,160
705,80,80,159
706,80,80,159
707,80,80,159
708,80,80,159
709,80,80,158
710,80,80,158
711,80,80,158
712,80,80,158
713,80,80,157
714,80,80,157
715,80,80,157
716,80,80,157
717,80,80,156
718,80,80,156
719,80,80,156
720,80,80,156
721,80,80,155
722,80,80,155
723,80,80,155
724,80,80,155
725,80,80,154
726,80,80,154
727,80,80,154
728,80,80,154
729,80,80,153
730,80,80,153
731,80,80,153
732,80,80,153
733,80,80,152
734,80,80,152
735,80,80,152
736,80,80,152
737,80,80,151
738,80,80,151
739,80,80,151
740,80,80,151
741,80,80,150
742,80,80,150
743,80,80,150
744,80,80,150
745,80,80,149
746,80,80,149
747,80,80,149
748,80,80,149
749,80,80,148
750,80,80,148
751,80,80,148
752,80,80,148
753,80,80,147
754,80,80,147
755,80,80,147
756,80,80,147
757,80,80,146
758,80,80,146
759,80,80,146
760,80,80,146
761,80,80,145
762,80,80,145
763,80,80,145
764,80,80,145
765,80,80,144
766,80,80,144
767,80,80,144
768,80,80,144
769,80,80,143
770,80,80,143
771,80,80,143
772,80,80,143
773,80,80,142
774,80,80,142
775,80,80,142
776,80,80,142
777,80,80,141
778,80,80,141
779,80,80,141
780,80,80,141
781,80,80,140
782,80,80,140
783,80,80,140
784,80,80,140
785,80,80,139
786,80,80,139
787,80,80,139
788,80,80,139
789,80,80,138
790,80,80,138
791,80,80,138
792,80,80,138
793,80,80,137
794,80,80,137
795,80,80,137
796,80,80,137
797,80,80,136
798,80,80,136
799,80,80,136
800,80,80,136
801,80,80,135
802,80,80,135
803,80,80,135
804,80,80,135
805,80,80,134
806,80,80,134
807,80,80,134
808,80,80,134
809,80,80,133
810,80,80,133
811,80,80,133
812,80,80,133
813,80,80,132
814,80,80,132
815,80,80,132
816,80,80,132
817,80,80,131
818,80,80,131
819,80,80,131
820,80,80,131
821,80,80,130
822,80,80,130
823,80,80,130
824,80,80,130
825,80,80,129
826,80,80,129
827,80,80,129
828,80,80,129
829,80,80,128
830,80,80,128
831,80,80,128
832,80,80,128
833,80,80,127
834,80,80,127
835,80,80,127
836,80,80,127
837,80,80,126
838,80,80,126
839,80,80,126
840,80,80,126
841,80,80,125
842,80,80,125
843,80,80,125
844,80,80,125
845,80,80,124
846,80,80,124
847,80,80,124
848,80,80,124
849,80,80,123
850,80,80,123
851,80,80,123
852,80,80,123
853,80,80,122
854,80,80,122
855,80,80,122
856,80,80,122
857,80,80,121
858,80,80,121
859,80,80,121
860,80,80,121
861,80,80,120
862,80,80,120
863,80,80,120
864,80,80,120
865,80,80,119
866,80,80,119
867,80,80,119
868,80,80,119
869,80,80,118
870,80,80,118
871,80,80,118
872,80,80,118
873,80,80,117
874,80,80,117
875,80,80,117
876,80,80,117
877,80,80,116
878,80,80,116
879,80,80,116
880,80,80,116
881,80,80,115
882,80,80,115
883,80,80,115
884,80,80,115
885,80,80,114
886,80,80,114
887,80,80,114
888,80,80,114
889,80,80,113
890,80,80,113
891,80,80,113
892,80,80,113
893,80,80,112
894,80,80,112
895,80,80,112
896,80,80,112
897,80,80,111
898,80,80,111
899,80,80,111
900,80,80,111
901,80,80,110
902,80,80,110
903,80,80,110
904,80,80,110
905,80,80,109
906,80,80,109
907,80,80,109
908,80,80,109
909,80,80,108
910,80,80,108
911,80,80,108
912,80,80,108
913,80,80,107
914,80,80,107
915,80,80,107
916,80,80,107
917,80,80,106
918,80,80,106
919,80,80,106
920,80,80,106
921,80,80,105
922,80,80,105
923,80,80,105
924,80,80,105
925,80,80,104
926,80,80,104
927,80,80,104
928,80,80,104
929,80,80,103
930,80,80,103
931,80,80,103
932,80,80,103
933,80,80,102
934,80,80,102
935,80,80,102
936,80,80,102
937,80,80,101
938,80,80,101
939,80,80,101
940,80,80,101
941,80,80,100
942,80,80,100
943,80,80,100
944,80,80,100
945,80,80,99
946,80,80,99
947,80,80,99
948,80,80,99
949,80,80,98
950,80,80,98
951,80,80,98
952,80,80,98
953,80,80,97
954,80,80,97
955,80,80,97
956,80,80,97
957,80,80,96
958,80,80,96
959,80,80,96
960,80,80,96
961,80,80,95
962,80,80,95
963,80,80,95
964,80,80,95
965,80,80,94
966,80,80,94
967,80,80,94
968,80,80,94
969,80,80,93
970,80,80,93
971,80,80,93
972,80,80,93
973,80,80,92
974,80,80,92
975,80,80,92
976,80,80,92
977,80,80,91
978,80,80,91
979,80,80,91
980,80,80,91
981,80,80,90
982,80,80,90
983,80,80,90
984,80,80,90
985,80,80,89
986,80,80,89
987,80,80,89
988,80,80,89
989,80,80,88
990,80,80,88
991,80,80,88
992,80,80,88
993,80,80,87
994,80,80,87
995,80,80,87
996,80,80,87
997,80,80,86
998,80,80,86
999,80,80,86
1000,80,80,86
1001,80,80,85
1002,80,80,85
1003,80,80,85
1004,80,80,85
1005,80,80,84
1006,80,80,84
1007,80,80,84
1008,80,80,84
1009,80,80,83
1010,80,80,83
1011,80,80,83
1012,80,80,83
1013,80,80,82
1014,80,80,82
1015,80,80,82
1016,80,80,82
1017,80,80,81
1018,80,80,81
1019,80,80,81
1020,80,80,81
1021,80,80,80
1022,80,80,80
1023,80,80,80


